Alabama	AL		
Alaska	AK	Ak	
American Samoa	AS		
Arizona	AZ		
Arkansas	AR	Arkasas	
California	CA	Californi	
Canal Zone	CZ		
Colorado	CO		
Connecticut	CT		
Delaware	DE		
Washington DC	DC	District of Columbia	
Florida	FL		
Georgia	GA		
Guam	GU		
Hawaii	HI		
Idaho	ID		
Illinois	IL		
Indiana	IN		
Iowa	IA		
Kansas	KS		
Kentucky	KY		
Louisiana	LA	SLIDELL LA	
Maine	ME		
Maryland	MD		
Massachusetts	MA		
Michigan	MI		
Minnesota	MN		
Mississippi	MS		
Missouri	MO		
Montana	MT		
Nebraska	NE		
Nevada	NV		
New Hampshire	NH		
New Jersey	NJ		
New Mexico	NM		
New York	NY	NewYork	NEW YORK
North Carolina	NC		
North Dakota	ND		
Northern Mariana Islands	MP		
Ohio	OH		
Oklahoma	OK		
Oregon	OR		
Pennsylvania	PA		
Puerto Rico	PR		
Rhode Island	RI		
South Carolina	SC		
South Dakota	SD		
Tennessee	TN		
Texas	TX		
Utah	UT	UTAH	
Vermont	VT		
Virgin Islands	VI	Virgin Islands of the U.S.	
Virginia	VA		
Washington	WA		
West Virginia	WV		
Wisconsin	WI		
Wyoming	WY		
